ut,mean_altitude,surf_speed,g_force,aoa,aerodynamic_force,dynamic_pressure,highest_skin_temp,highest_skin_temp_part,critical_skin_temp,critical_skin_temp_part,ablator,atmosphere_density,mass,dry_mass,thurst
28692700.230686776,1848.5272123916075,1082137.6875848963,1.7516547441482544,-11.133475303649902,21402.81114390915,4.991296291351318,394.09404942961737,"parachuteRadial",328.3274801251119,"sensorThermometer",0.0,5.553383827209473,1265.75,1265.75,0.0
28692701.270686753,1847.07100330689,1082137.580137277,1.7175049781799316,-11.048210144042969,21060.151185610917,4.846386432647705,394.17441336618805,"parachuteRadial",329.0183877667747,"sensorThermometer",0.0,5.5539093017578125,1265.75,1265.75,0.0
28692702.29068673,1845.7447151492815,1082137.358154377,1.6578702926635742,-11.627462387084961,19282.612549909372,5.905089855194092,394.2511918838496,"parachuteRadial",329.6502768408129,"sensorThermometer",0.0,5.554397106170654,1265.75,1265.75,0.0
28692703.330686707,1843.8208148650592,1082136.6487751938,1.7027541399002075,-5.113034248352051,21524.921561606152,10.800738334655762,394.3233848647246,"parachuteRadial",330.6942287975447,"sensorThermometer",0.0,5.555078029632568,1265.75,1265.75,0.0
28692704.350686684,1842.538306050934,1082137.3862626648,1.6544206142425537,-4.842797756195068,19598.861958309495,3.3311567306518555,394.3995347096946,"parachuteRadial",331.4558359181225,"sensorThermometer",0.0,5.5555548667907715,1265.75,1265.75,0.0
28692705.39068666,1841.1683300299337,1082136.6118051496,1.5459643602371216,-1.9066970348358154,19085.972555493998,10.045231819152832,394.46997205308384,"parachuteRadial",332.0562717085516,"sensorThermometer",0.0,5.55604887008667,1265.75,1265.75,0.0
28692706.450686637,1839.2271402315237,1082136.392845231,1.8123666048049927,2.26802921295166,19454.303982885285,8.935508728027344,394.5416605767997,"parachuteRadial",333.1626074995668,"sensorThermometer",0.0,5.55673885345459,1265.75,1265.75,0.0
28692707.470686615,1838.1257002009079,1082136.9007999701,1.628896951675415,8.832385063171387,19688.451774726218,4.314084529876709,394.61264439850254,"parachuteRadial",333.6911185834494,"sensorThermometer",0.0,5.557147026062012,1265.75,1265.75,0.0
28692708.51068659,1836.608932956704,1082136.4544652218,1.7033400535583496,10.448860168457031,17560.845441874204,9.072747230529785,394.6795539140537,"parachuteRadial",334.4214788085158,"sensorThermometer",0.0,5.557694435119629,1265.75,1265.75,0.0
28692709.550686568,1834.8711089405697,1082136.7729960838,1.9079298973083496,24.113004684448242,21840.61222150554,2.676974296569824,394.7487197905201,"parachuteRadial",335.4220701035891,"sensorThermometer",0.0,5.558322429656982,1265.75,1265.75,0.0
28692710.590686545,1833.7498610280454,1082136.389843144,1.6463459730148315,21.053661346435547,18977.234988089403,5.261237144470215,394.81732066925576,"parachuteRadial",335.86780213999583,"sensorThermometer",0.0,5.5587263107299805,1265.75,1265.75,0.0
28692711.63068652,1832.0226866609883,1082135.4111702258,1.5925158262252808,16.34946632385254,20826.20307505595,11.670899391174316,394.8800922055589,"parachuteRadial",336.70207981814315,"sensorThermometer",0.0,5.559335231781006,1265.75,1265.75,0.0
28692712.6706865,1830.7104192535626,1082136.3619529484,1.6701370477676392,37.240318298339844,19055.757545469347,3.211379289627075,394.9477543389791,"parachuteRadial",337.4167785325603,"sensorThermometer",0.0,5.559816360473633,1265.75,1265.75,0.0
28692713.710686475,1829.4363484114874,1082135.8291974794,1.639949083328247,34.23798751831055,20159.94474823402,6.861789703369141,395.01095142462174,"parachuteRadial",337.9367179191339,"sensorThermometer",0.0,5.560283184051514,1265.75,1265.75,0.0
28692714.75068645,1827.794153515133,1082135.516565487,1.6830154657363892,30.48519515991211,18470.580351363853,8.154808044433594,395.071691563552,"parachuteRadial",338.69258816603207,"sensorThermometer",0.0,5.560876369476318,1265.75,1265.75,0.0
28692715.810686428,1825.9421511148103,1082135.2825596961,1.7365400791168213,32.88481903076172,20364.80890686733,7.123093605041504,395.1331521314505,"parachuteRadial",339.55517626535334,"sensorThermometer",0.0,5.561534404754639,1265.75,1265.75,0.0
28692716.830686405,1824.2613589470275,1082135.088724312,1.6708154678344727,24.23318099975586,20954.923998456048,8.432706832885742,395.19422426136765,"parachuteRadial",340.2286948634582,"sensorThermometer",0.0,5.562152862548828,1265.75,1265.75,0.0
28692717.870686382,1822.253653974738,1082134.6067678274,1.6781980991363525,5.897888660430908,21474.117111757605,11.596253395080566,395.25349688916515,"parachuteRadial",341.06380637981937,"sensorGravimeter",0.0,5.5628790855407715,1265.75,1265.75,0.0
28692718.91068636,1820.0877489778213,1082134.3667889342,1.6803566217422485,1.8587234020233154,20904.44536796119,12.60865306854248,395.3141135921214,"parachuteRadial",341.9493131082234,"sensorGravimeter",0.0,5.563663005828857,1265.75,1265.75,0.0
